Topic,Count,Name,Representation,Representative_Docs
64,30,64_photo_tout photo_rapport photo_petit photo,"['photo', 'tout photo', 'rapport photo', 'petit photo', 'photo mauvaise qualité', 'plus petit photo', 'photo mauvaise', 'plus petit', 'couleur', 'ressemble tout photo', 'beau photo', 'photo vente', 'ressemblant', 'celui photo', 'photo couleur']","['article peu ressemblant à la photo , mauvaise qualité', 'et il est plus petit que sur la photo .', 'le produit reçu ne ressemble pas du tout a la photo de vente']"
65,30,65_reçu commande_reçu commande reçu_reçu_jamais reçu commande,"['reçu commande', 'reçu commande reçu', 'reçu', 'jamais reçu commande', 'toujours reçu', 'commande reçu bon', 'reçu commande toujours', 'commande reçu', 'reçu bon produit', 'commande toujours reçu', 'toujours reçu colis', 'rien reçu', 'jamais reçu', 'reçu bon', 'commande bonsoir']","[""je n'ai jamais reçu ma commande ."", ""je n'ai jamais reçu ma commande !"", ""je n'ai jamais reçu ma commande !""]"
66,30,66_pire_pire pire_plus plus_pire pire service,"['pire', 'pire pire', 'plus plus', 'pire pire service', 'pire service', 'pire pire pire', 'pire service client', 'sav plus plus', 'client plus plus', 'moins fiable', 'moins moins fiable', 'sav plus', 'plus plus mauvais', 'plus', 'plus mauvais']","['de pire en pire', 'de pire en pire', 'de pire en pire']"
67,30,67_comment_remboursement comment_comment procéder_comment fais,"['comment', 'remboursement comment', 'comment procéder', 'comment fais', 'procéder', 'faire', 'quoi', 'comment faire', 'être remboursée comptez', 'évènement similaire', 'arnaque vécu', 'arnaque vécu évènement', 'équipes déjà victime', 'avenir faites', 'avenir faites faire']","['et comment je fais pour vous contacter en privé ?', 'merci de m ’ indiquer comment procéder au remboursement !', 'je voudrais effectuer un échange , est ce possible et comment procéder ?']"
68,28,68_adore_adoré_aime_aime beaucoup,"['adore', 'adoré', 'aime', 'aime beaucoup', 'adoré robes', 'magnifique adore', 'adore aimé', 'adore aime', 'cette marque', 'aimé', 'adore cette marque', 'adore cette', 'aime bien', 'robes', 'superbe']","[""j'ai adoré mes vêtements ."", ""j'ai adoré les robes de la marque le printemps des petits , vraiment top ."", ""superbe coupe et qualité des tissus j'adore cette marque""]"
69,28,69_ensemble très_ensemble_abîmé ensemble très_aimé colis,"['ensemble très', 'ensemble', 'abîmé ensemble très', 'aimé colis', 'article abîmé ensemble', 'appareil remplit fonctions', 'appareil remplit', 'aimé colis ensemble', 'abîmé ensemble', 'avance réponse appareil', 'complet autre', 'correcte prix cette', 'complet autre parfaite', 'déçue prix vraiment', 'articles complet autre']","['l ’ appareil remplit ses fonctions .', ""mon expérience est très positive jusqu ' à présent ."", 'l ’ appareil fait parfaitement et rapidement le travail .']"
70,28,70_tout parfait_parfait_toute ligne tout_ligne tout,"['tout parfait', 'parfait', 'toute ligne tout', 'ligne tout', 'tout parfait parfait', 'parfait parfait', 'parfait tout', 'toute ligne', 'tout parfait tout', 'début fin', 'tout', 'parfait parfait début', 'parfait toute ligne', 'fin tout', 'début fin tout']","['tout a été parfait .', 'tout a été parfait !', 'tout à été parfait']"
71,28,71_livraison satisfaite_livraison très satisfaite_rapidité livraison_rapidité,"['livraison satisfaite', 'livraison très satisfaite', 'rapidité livraison', 'rapidité', 'satisfaite', 'livraison très', 'très satisfaite', 'rapidité livraison satisfaite', 'produit livraison très', 'satisfaite commande', 'produit livraison', 'très contente produit', 'satisfaite commande livraison', 'contente produit', 'très satisfaite commande']","['très satisfaite de ma commande et de la livraison', 'très satisfaite des articles commandés et de la rapidité de livraison !', 'très satisfaite de ma commande et de la rapidité de livraison .']"
72,27,72_livraison plus_prévu livraison plus_plus rapide_livraison plus rapide,"['livraison plus', 'prévu livraison plus', 'plus rapide', 'livraison plus rapide', 'prévu livraison', 'plus tôt', 'tôt', 'prévu', 'rapide prévue', 'plus rapide prévue', 'tôt prévu', 'plus tôt prévu', 'rapide prévu livraison', 'plus rapide prévu', 'rapide prévu']","['livraison plus rapide que prévue !', 'livraison à été plus rapide que prévue .', 'livraison plus rapide que prévue !']"
73,27,73_livraison délais_délais_délais livraison délais_livraison délais livraison,"['livraison délais', 'délais', 'délais livraison délais', 'livraison délais livraison', 'délais annoncés livraison', 'délai annoncé livraison', 'annoncés livraison', 'annoncé livraison', 'délais commande', 'délais annoncés', 'délai annoncé', 'indiqués', 'livraison délai', 'annoncé livraison délai', 'livraison délai annoncé']","['livraison dans les délais .', 'livraison dans les délais .', 'livraison dans les délais .']"
74,27,74_produits qualité_qualité produits_produits_produits qualité produits,"['produits qualité', 'qualité produits', 'produits', 'produits qualité produits', 'qualités', 'qualités produits', 'interessants', 'qualité produits qualité', 'produits très', 'produits très bien', 'beaux', 'bonne qualité produits', 'qualité', 'très beaux', 'belles marques beaux']","['. les produits sont de qualité', 'des produits de qualité !', 'très beaux bijoux plein de finesse et sui semblent de bonne qualité']"
75,27,75_service_lamentable service client_lamentable service_service client,"['service', 'lamentable service client', 'lamentable service', 'service client', 'service client inexistant', 'client inexistant', 'service clients', 'client', 'service après vente', 'service après', 'après vente', 'après vente innexistant', 'aide contact destiné', 'client vente service', 'client site service']","['fausses réductions et service clients lamentable', 'le service client n', 'livraison marchandises et sce clients au top cordialement']"
76,26,76_reproduira_deuxième fois_deuxième fois fais_cela reproduira,"['reproduira', 'deuxième fois', 'deuxième fois fais', 'cela reproduira', 'espère cela reproduira', 'espère cela', 'fois fais', 'première fois', 'espère', 'fois', 'fois espère', 'fois fais avoir', 'fois commande très', 'fois espère cela', 'première']","[""j'espère que cela ne se reproduira plus !"", ""j'espère que cela ne se reproduira pas ."", ""j'espère que cela ne se reproduira pas ...""]"
77,26,77_consommateurs_fraudes_association_répression fraudes,"['consommateurs', 'fraudes', 'association', 'répression fraudes', 'répression', 'association consommateurs', '60 millions', '60 millions consommateurs', 'millions consommateurs', 'appel association consommateurs', 'appel association', 'millions', 'consommation', 'faire appel', 'droits']","['je pense faire appel à une association de consommateurs .', ""pour commencer je vais porter plainte auprès de l'association 60 millions de consommateurs ."", 'je suis très déçu et je vais sans tarder aviser 60 millions de consommateurs pour faire valoir mes droits de consommateurs .']"
78,26,78_livraison rapide_conforme livraison_rapide_conforme livraison rapide,"['livraison rapide', 'conforme livraison', 'rapide', 'conforme livraison rapide', 'produit conforme livraison', 'livraison rapide produit', 'conforme', 'rapide produit', 'produit conforme', 'rapide produit conforme', 'rapide produits', 'rapidement livraison', 'livraison rapide produits', 'rapide livraison rapide', 'livraison rapide livraison']","['livraison rapide , produit conforme .', 'livraison rapide et produit conforme .', 'livraison rapide et produit conforme .']"
79,26,79_retourner_souhaite retourner_retourner retourne_renvoyer vais,"['retourner', 'souhaite retourner', 'retourner retourne', 'renvoyer vais', 'renvoyer', 'retourne', 'souhaite', 'mots', 'allons tout renvoyer', 'annees vais tout', 'annees vais', 'alors lance', 'articles dois retourner', 'articles coordonnées', 'articles coordonnées directes']","['je souhaite retourner la marchandise', 'je souhaite le retourner .', 'que je souhaite retourner .']"
80,24,80_passé tout_bien passé_bien passé tout_tout bien passé,"['passé tout', 'bien passé', 'bien passé tout', 'tout bien passé', 'tout bien', 'passé tout bien', 'passé', 'très bien passé', 'tout très bien', 'tout très', 'passé tout très', 'tout', 'très bien', 'bien', 'ras tout']","['tout c ’ est bien passé', ""tout s'est bien passé"", 'tout s ’ est bien passé']"
81,24,81_service client_client_client joindre_service client joindre,"['service client', 'client', 'client joindre', 'service client joindre', 'sav injoignable', 'client retour service', 'client contact', 'client joindre service', 'service client contact', 'joindre service', 'service', 'injoignable', 'service client besoin', 'service client retour', 'client besoin']","['de joindre le service client', 'de joindre le service client', 'pas de service client !']"
82,24,82_très contente_satisfaite_vente privée très_privée très,"['très contente', 'satisfaite', 'vente privée très', 'privée très', 'achats', 'satisfaite achats', 'contente', 'très satisfaite', 'recommanderais', 'ravie', 'remercie', 'showroomprive satisfaite', 'vérifié produits plusieurs', 'achats très joli', 'souvant']","[""j'achète souvant sur showroom et je suis très satisfaite du service ."", ""satisfaite de mes achats comme d'habitude chez camaïeu ."", ""plusieurs commandes passées avec vente privée et j'en suis très contente .""]"
83,24,83_recommande_site recommande_recommande site recommande_recommande site,"['recommande', 'site recommande', 'recommande site recommande', 'recommande site', 'site recommande cette', 'recommande cette', 'hésiter recommande site', 'sans hésiter recommande', 'recommande produit recommande', 'hésiter recommande', 'site recommande site', 'recommande sans hésiter', 'produit recommande', 'recommande produit', 'recommande sans']","['je recommande ce site .', ', je recommande ce site .', 'je recommande ce site .']"
84,23,84_showroomprive très_showroomprive_satisfaite showroomprive_très satisfaite,"['showroomprive très', 'showroomprive', 'satisfaite showroomprive', 'très satisfaite', 'insatisfaite showroomprive', 'satisfaite', 'showroomprive très satisfaite', 'showroomprivé toujours', 'fois très', 'showroomprivé', 'très satisfaite showroomprive', 'expérience showroomprive', 'toujours très satisfaite', 'insatisfaite', 'site showroomprive']","['encore une fois très satisfaite de mon expérience sur showroomprive .', 'très satisfaite de showroomprive .', 'toujours très satisfaite de showroomprive .']"
85,23,85_recommande recommande_recommande_recommande recommande recommande_recommande recommande tout,"['recommande recommande', 'recommande', 'recommande recommande recommande', 'recommande recommande tout', 'recommande tout recommande', 'tout recommande', 'tout recommande recommande', 'recommande tout', 'recommande coup recommande', 'conseille recommanderais recommande', 'absolument recommande recommande', 'coup recommande recommande', 'peux recommander recommande', 'coup recommande', 'conseille recommanderais']","['je ne le recommande pas .', 'je ne recommande pas .', ', je ne recommande pas .']"
86,23,86_années_années commande_fait années commande_fait années,"['années', 'années commande', 'fait années commande', 'fait années', 'vp commande', 'depuis débuts', 'depuis plusieurs années', 'cliente', 'site cliente depuis', 'cliente depuis', 'depuis plusieurs', 'depuis', 'plusieurs années', 'années vente privée', 'site cliente']","['cela fait des années que je commande sur vente privée .', 'ca fait des années que je commande sur le site .', 'je commande régulièrement depuis plusieurs années sur vente privée.com .']"
87,22,87_fermoirs_fines_jolies_très jolies,"['fermoirs', 'fines', 'jolies', 'très jolies', 'viens', 'arrivé très déçu', '1ere utilisation', 'attache inutilisable', 'attache inutilisable impossibles', 'cassée chaîne', 'cassé retour prévu', 'chaîne cassé lors', 'chaîne cassé', 'cassée parfait très', 'carats quand octobre']","[""j'ai commandé des boucles d'oreille en or 9 carats ( mais quand même ) en octobre 2020 ."", ""je viens d'acheter des boucles d'oreilles de la marque `` la chiquita '' sur ventes privées ."", ""j'ai commandé un petit sac noir en cuir qui est arrivé mais très déçu de la forme .""]"
88,22,88_long délais livraison_long délais_long_délai livraison,"['long délais livraison', 'long délais', 'long', 'délai livraison', 'livraison long', 'délai', 'livraison respecté', 'délais livraison long', 'délais livraison', 'trop long', 'respecté', 'long délai livraison', 'délai livraison respecté', 'long délai', 'livraison long délai']","['délai de livraison respecté', 'délais de livraison long', 'délais de livraison long']"
89,22,89_voir temps_temps voir_voir_long terme,"['voir temps', 'temps voir', 'voir', 'long terme', 'temps voir temps', 'voir temps voir', 'temps', 'terme', 'verra', 'terme voir', 'long terme voir', 'verra temps voir', 'reste voir', 'verra temps', 'temps qualité']","['á voir dans le temps .', 'à voir avec le temps .', 'a voir dans le temps ...']"
90,21,90_tout très bien_bien passé_très bien passé_tout très,"['tout très bien', 'bien passé', 'très bien passé', 'tout très', 'bien passé tout', 'passé tout', 'passé tout très', 'déroulé', 'très bien', 'bien déroulé', 'très bien ensemble', 'bien déroulé tout', 'bien ensemble tout', 'déroulé tout', 'déroulé tout très']","[""tout s'est très bien passé ."", ""tout s'est très bien passé ."", ""tout c'est très bien passé .""]"
91,21,91_2020 acheté début_99 achète_37 commandé commandé_99 achète toute,"['2020 acheté début', '99 achète', '37 commandé commandé', '99 achète toute', 'appelle tout suite', 'aucune nouvelle vente', 'avant heure tasse', 'achète toute confiance', 'acheté début mars', 'achète toute', 'début janvier 2020', 'commandé chocolat', 'commandé chocolat pris', 'commandé commandé chocolat', 'commandé début janvier']","[""j'ai acheté début mars 99"", ""ensuite il m'envoie en début juin"", ""j'avais déjà écrit un avis sur vente""]"
92,21,92_déçu très_déçu_déçu très déçu_très déçu,"['déçu très', 'déçu', 'déçu très déçu', 'très déçu', 'très déçu vraiment', 'déçu vraiment', 'très déçu très', 'dégoûtée', 'déçu fortement', 'dècu complètement insatisfaite', 'dégoûtée très', 'dégoûtée très déçu', 'déçu extrêmement', 'déçu extrêmement déçu', 'déçu terriblement']","['je suis très déçu .', 'je suis très déçu .', 'je suis très déçu .']"
93,21,93_cadeau très_beau produit_beau_bon produit magnifique,"['cadeau très', 'beau produit', 'beau', 'bon produit magnifique', 'produit magnifique produit', 'magnifique produit', 'produit magnifique', 'très beau', 'très beau produit', 'excellent', 'joli', 'bon service', 'cadeau', 'produit', 'cadeau très bon']","['super , produit cadeau et très joli', 'très beau produit et confortable', 'très beau produit et super cadeau']"
94,21,94_très rassurant_sérieux_rassurant_professionnel,"['très rassurant', 'sérieux', 'rassurant', 'professionnel', 'cela sérieux juste', 'client sérieux', 'commercial ni cohérent', 'coup très', 'dire sérieux ni', 'coup très rassurant', 'classique cela', 'classique cela sérieux', 'choix satisfaction client', 'choix satisfaction', 'haut terrible tout']","[""ce n'est pas très rassurant"", ""ce n'est ni commercial ni cohérent ."", ""du coup c'est très rassurant .""]"
95,21,95_reçu commandé_livraison colis reçu_avertie_colis reçu,"['reçu commandé', 'livraison colis reçu', 'avertie', 'colis reçu', 'commande reçu', 'moitié commande', 'moitié', 'livraison colis', 'commandés', 'article avisée préparation', 'colis reçu totalité', 'commandé arrive retourner', 'avisée préparation envoi', 'avertie livraison colis', 'articles commandés moitié']","[""je n'ai pas été avertie pour la livraison du colis"", 'j ai été avisée de la préparation et de l envoi du colis .', ""à partir de 60 euros d'achat sur l'intégralité de la commande .""]"
96,20,96_chez commanderai plus_chez commanderai_jamais chez_plus jamais chez,"['chez commanderai plus', 'chez commanderai', 'jamais chez', 'plus jamais chez', 'commanderai', 'plus chez commanderai', 'commanderai plus', 'plus jamais', 'achèterai plus', 'commanderai plus jamais', 'achèterai', 'plus chez', 'chez', 'jamais chez achèterai', 'chez achèterai']","['je ne commanderai plus jamais chez eux .', 'je ne commanderai plus jamais chez eux .', 'je ne commanderai plus jamais chez eux .']"
97,20,97_plainte_porter plainte_porter_plainte contre,"['plainte', 'porter plainte', 'porter', 'plainte contre', 'escroquerie', 'porter plainte escroquerie', 'plainte escroquerie', 'vais porter', 'vais porter plainte', 'justice', 'vais', 'contre', 'semaine vais déposer', 'site allons', 'savent depuis']","['donc peut être porter plainte pour escroquerie ...', 'je vais porter plainte contre le site', 'je vais porter plainte pour escroquerie ! !']"
98,20,98_qualité livraison_livraison rapide_qualité livraison rapide_rapide produit,"['qualité livraison', 'livraison rapide', 'qualité livraison rapide', 'rapide produit', 'rapide', 'livraison rapide produit', 'bonne qualité livraison', 'bonne qualité', 'rapide produit bonne', 'qualité', 'produit bonne qualité', 'qualité livraison très', 'rapide livraison rapide', 'livraison rapide livraison', 'produit bonne']","['article de très bonne qualité et livraison rapide .', 'articles de bonne qualité et livraison rapide .', 'livraison rapide , produit de bonne qualité .']"
99,20,99_comme photo_jolies_photos_comme photo comme,"['comme photo', 'jolies', 'photos', 'comme photo comme', 'photo comme photo', 'photo comme', 'photo', 'beau photos', 'très jolies', 'comme', 'comme photos', 'conformes photos', 'bagues', 'correspondent', 'chemisier comme photo']","['la montre pas comme la photo .', 'comme sur la photo', 'comme sur la photo']"
100,20,100_après vente_service après vente_service après_après vente déplorable,"['après vente', 'service après vente', 'service après', 'après vente déplorable', 'vente déplorable', 'vente déplorable service', 'déplorable service après', 'après', 'déplorable service', 'vente', 'déplorable', 'catastrophique service après', 'inexistant service après', 'vente catastrophique service', 'après vente service']","['service après vente déplorable .', 'service après vente déplorable !', 'service après vente déplorable !']"
101,20,101_rapport qualité prix_rapport qualité_bon rapport qualité_qualité prix,"['rapport qualité prix', 'rapport qualité', 'bon rapport qualité', 'qualité prix', 'bon rapport', 'rapport', 'qualité prix bon', 'prix bon rapport', 'prix très bon', 'prix bon', 'très bon rapport', 'qualité prix très', 'prix très', 'prix', 'très bon']","['bon rapport qualité prix .', 'bon rapport qualité prix .', 'bon rapport qualité prix']"
102,20,102_qualité produit_qualité_qualité qualité_qualité très,"['qualité produit', 'qualité', 'qualité qualité', 'qualité très', 'qualité articles', 'contenu qualité privée', 'fleurie qualité', 'fleurie qualité très', 'excellente gamme produit', 'excellent produit français', 'irl bonne', 'français qualité ressens', 'gamme produit', 'dépositaire qualité articles', 'excellente gamme']","['qualité très discutable le pull', 'produit et qualité du produit impeccable', 'la qualité du produit']"
103,20,103_longue livraison_trop longue_trop long livraison_longue,"['longue livraison', 'trop longue', 'trop long livraison', 'longue', 'longue livraison beaucoup', 'long livraison', 'trop', 'beaucoup trop', 'livraison beaucoup trop', 'trop longue livraison', 'livraison beaucoup', 'trop long', 'beaucoup trop long', 'beaucoup trop longue', 'livraison bcp']","['livraison beaucoup trop longue', 'livraison beaucoup trop longue', 'livraison beaucoup trop longue !']"
104,19,104_bémol_seul bémol_livraison seul_seul,"['bémol', 'seul bémol', 'livraison seul', 'seul', 'longue', 'livraison livraison', 'ete', 'chose éventuellement regrettable', 'bien commande trop', 'bon part délai', 'bémol douane', 'bémol livraison seul', 'chose éventuellement', 'bémol lenteur', 'bon part']","['le seul bémol concerne la livraison .', 'seul bémol la lenteur pour la livraison , c est dommage', 'le seul bémol a juste été la livraison de deux mois .']"
105,19,105_rien redire_redire_parfait rien_parfait rien redire,"['rien redire', 'redire', 'parfait rien', 'parfait rien redire', 'rien', 'rien dire', 'top rien', 'parfait', 'top rien redire', 'signaler rien', 'dire', 'sinon rien', 'rien dire rien', 'dire rien', 'top']","['parfait rien à redire .', 'parfait , rien à redire .', 'parfait , rien à redire .']"
106,19,106_honteux_vis_honte_vis clients,"['honteux', 'vis', 'honte', 'vis clients', 'vis vis clients', 'honte voleurs', 'manque respect', 'vis vis', 'arnaqueurs grosse blague', 'clients irrespectueux', 'arnaqueurs grosse', 'ainsi clients irrespectueux', 'acheteurs profondément', 'acheteurs profondément déplorable', 'ainsi quel']","[""c'est une grosse blague , une arnaque , des incompétents , aucune gestion sérieuse , honteux ."", ""c'est irrespectueux vis à vis de ses clients et non professionnels ."", ""c'est un manque de respect vis à vis des clients et c'est purement du vol .""]"
107,19,107_service client_resté sans_client_client rien,"['service client', 'resté sans', 'client', 'client rien', 'service client rien', 'resté', 'service', 'rien fait', 'appelé', 'voir proposera service', 'voir proposera', 'réponse problème etant', 'sans réponse problème', 'résolu fait', 'réglé peux évaluer']","[""j ai appelé le service client mais rien na été faite jusqu ' à présent ."", 'j ’ ai appelé déjà à plusieurs reprises le service client , aucun retour , aucun geste commercial .', 'j ai dû appeler plusieurs fois veepe , jamais le même interlocuteur et aucun suivi de dossier .']"
108,19,108_bien passé_bien passé tout_passé tout_très bien passé,"['bien passé', 'bien passé tout', 'passé tout', 'très bien passé', 'bien tout', 'tout très bien', 'tout très', 'passé', 'tout bien passé', 'tout bien', 'tout va', 'tout', 'va bien tout', 'bien tout bien', 'jusqu ici tout']","['tout s ’ est très bien passé !', 'tout s ’ est très bien passé .', 'tout c ’ très bien passé .']"
109,19,109_donc vol_vol_honteux_appelle cela due,"['donc vol', 'vol', 'honteux', 'appelle cela due', 'amenée niveau', 'amenée niveau art', 'arnaque encore', 'autant lenteur incompétence', 'blague là', 'attendez énorme blague', 'art depuis six', 'arnaque encore limite', 'arnaque honteux appelle', 'application supprimée attendez', 'deux vraiment honteux']","[""encore une c'est limite , mais deux c'est vraiment honteux ! !"", ""! c'est honteux et j'appelle cela due l'escroquerie !"", ""tant de malhonnêteté , c'est bien dommage.application supprimée .""]"
110,19,110_différence prix_expliquer différence_expliquer différence prix_conseillé 2017,"['différence prix', 'expliquer différence', 'expliquer différence prix', 'conseillé 2017', 'prix conseillé 2017', '06 10', 'prix conseillé', 'différence', 'pourriez', 'conseillé', 'çà lamentable', 'taxe réception', '10 finis appeler', 'temps notice', 'temps notice français']","[""pourriez-vous m'expliquer la différence de prix de `` prix conseillé 2017 '' de 165.75 euros ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! !"", ""pourriez-vous , encore une fois , m'expliquer le différence de `` prix conseillé 2017 '' de 116.89 euros , ainsi que la différence de prix de vente , vente privée , de 19 euros ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! !"", ""le 18/09 je recois une info comme quoi `` un contretemps logistique ns amene à prolonger la livraison '' jusqu'au 06/10 soit 1 mois de plus à attendre des articles pour la pratique d'un sport.on est le 06/10 et je finis par appeler le service client qui me répond que je ne serai livree d'aucun de mes 7 articles en raison de stocks indispo ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! !""]"
111,18,111_plus jamais_jamais commande showroom_plus jamais commande_jamais commande,"['plus jamais', 'jamais commande showroom', 'plus jamais commande', 'jamais commande', 'showroomprive plus jamais', 'showroomprive plus', 'commande showroom', 'jamais', 'site plus jamais', 'site plus', 'plus', 'commande showroom peux', 'commande showroom veux', 'commanderai plus déco', 'commande plus produits']","['plus jamais je commande sur showroom privé !', 'plus jamais de commande sur showroom', 'plus jamais de commande showroom']"
112,18,112_attends toujours_attends_remboursé_attends toujours remboursement,"['attends toujours', 'attends', 'remboursé', 'attends toujours remboursement', 'remboursement frais', 'frais envoi', 'mois exige', 'remboursé produit remboursé', 'appel retourné colis', 'appel retourné', 'attends toujours draps', 'attends canapé depuis', 'attends remboursement frais', 'colis lá', 'bout mois exige']","[""j'attends toujours le remboursement ."", ""j'attends toujours les remboursement ."", ""bonjour , j'attends mon canapé depuis le 23 novembre .""]"
113,18,113_euros perdu_euros_10 rien_150 présent,"['euros perdu', 'euros', '10 rien', '150 présent', '1000 euros perdu', '140 euros', '150 présent contre', '120 euros pendant', '140 euros perdu', '34 lieu', '36 260', '260 euros', '260 euros rien', '240 perdu', '240 perdu prix']","['prix neuf : 379 euros !', 'résultat 120 euros pendant 2 mois dans leur trésorerie .', ""impossible me dit la conseillère , `` vous devez vérifier votre date anniversaire '' .""]"
114,18,114_avance commande_commande reçue_reçue_avance commande reçue,"['avance commande', 'commande reçue', 'reçue', 'avance commande reçue', 'reçue avance commande', 'avance', 'commande reçue avance', 'avance commande arrivée', 'reçue avance', 'très rapidement', 'reçue très rapidement', 'commande reçue très', 'reçue très', 'rapidement', 'comme prévu']","['commande reçue en avance .', 'commande reçue très rapidement .', 'commande reçue très rapidement .']"
115,18,115_escroquerie_arnaque site_arnaque_véritable arnaque site,"['escroquerie', 'arnaque site', 'arnaque', 'véritable arnaque site', 'site escroquerie', 'escroquerie site', 'véritable arnaque', 'site arnaque', 'véritable', 'pure', 'échelle devenu vraie', 'vraie catastrophe gros', 'échelle devenu', 'arnaque bel escroquerie', 'arnaque escroquerie site']","['site pour arnaque et escroquerie .', 'ce site est une escroquerie .', 'site à bannir vraiment escroquerie pure et dure !']"
116,18,116_taillent_taillent petit_petit_grand taillent,"['taillent', 'taillent petit', 'petit', 'grand taillent', 'taillent petit taillent', 'taillent beaucoup', 'petit taillent', 'grand', 'taillent trop', 'taillent peu', 'taillent grand', 'trop petit', 'petits', 'vraiment très petits', 'très petits taillent']","['les vêtements taillent grand .', 'vêtements qui taillent petit .', 'les vêtements taillent petit .']"
117,18,117_tous points_ensemble_bien ensemble_ensemble très,"['tous points', 'ensemble', 'bien ensemble', 'ensemble très', 'points très', 'bien ensemble très', 'tous points très', 'points', 'ensemble très bien', 'très bien ensemble', 'conforme tous points', 'ensemble conforme', 'conforme tous', 'bien tous points', 'très bien']","['très bien dans l ’ ensemble', 'très bien dans l ’ ensemble', ""très bien dans l'ensemble""]"
118,18,118_jamais déçue recommande_déçue recommande très_bonjour très déçue_déçue commande très,"['jamais déçue recommande', 'déçue recommande très', 'bonjour très déçue', 'déçue commande très', 'déçue recommande', 'très déçue commande', 'recommande très', 'très déçue', 'déçue commande', 'commande très', 'bonjour très', 'déçue', 'satisfaite produit', 'très satisfaite', 'satisfaite']","[""je n'ai jamais été déçue je vous recommande ."", ""bonjour , j'ai été très déçue de ma commande ."", ""bonjour , j'ai été très déçue par ma commande .""]"
119,18,119_livraison temps_temps livraison temps_temps livraison_livraison temps livraison,"['livraison temps', 'temps livraison temps', 'temps livraison', 'livraison temps livraison', 'temps', 'temps arrivé temps', 'délais livré', 'temps arrivé', 'arrivé temps', 'livraison délais', 'arrivée temps arrivé', 'articles commande livrée', 'délai bien reçu', 'arrivé temps livraison', 'temps réception temps']","['livraison dans les temps', 'livraison dans les temps', 'livraison dans les temps']"
120,17,120_commandés seul_commandés_commandés seulement_commandés seul reçu,"['commandés seul', 'commandés', 'commandés seulement', 'commandés seul reçu', 'commandés seulement livrés', 'seul reçu produits', 'seulement livrés', 'articles commandés', 'livrés', 'seul reçu', 'articles commandés seul', 'abonnés absents', 'abonnés', 'absents', 'commandé articles']","['2 jeux commandés , 1 seul reçu .', '3 articles commandés et seulement 2 livrés .', '3 articles commandés , 1 seul reçu .']"
121,17,121_produit très_produit très satisfaite_très satisfaite produit_satisfaite produit,"['produit très', 'produit très satisfaite', 'très satisfaite produit', 'satisfaite produit', 'très satisfaite', 'produit très contente', 'contente produit très', 'satisfaite produits', 'satisfaite', 'très satisfait produit', 'très contente produit', 'satisfait produit', 'satisfaite produit très', 'contente produit', 'produit']","['très satisfaite du produit .', 'très satisfaite du produit .', 'très satisfaite du produit .']"
122,17,122_tout image_image_adore_bonne qualité,"['tout image', 'image', 'adore', 'bonne qualité', 'identique', 'également adore', 'style couleur', 'style couleur absolument', 'super déco', 'super déco chambre', 'qualité temps expédition', 'absolument identique', 'absolument identique photo', 'également adore qualité', 'qualité prix mal']","[""la parure de lit ne correspond pas du tout à l'image annoncé dans la vente ."", ""j'adore ces chaussures , qualité , style , couleur absolument identique à la photo"", ""très jolies baskets , fidèle à l'image , joli détail dentelle , chausse bien .""]"
123,17,123_dernière_dernière commande chez_commande chez_dernière commande,"['dernière', 'dernière commande chez', 'commande chez', 'dernière commande', 'chez pense dernière', 'chez pense', 'commande chez pense', 'dernière fois', 'première dernière', 'pense dernière commande', 'pense dernière', 'première dernière fois', 'fois commande', 'première', 'commande chez première']","['ce sera pour moi ma dernière commande chez eux .', 'première et dernière commande chez eux !', 'je pense que ce sera ma dernière commande chez eux !']"
124,17,124_très mécontente_manque_mécontente_car ça manque,"['très mécontente', 'manque', 'mécontente', 'car ça manque', 'avoir marre service', 'client là pète', 'choquée cette façon', 'cette manière faire', 'cela questionne plus', 'attitude très mécontente', 'attitude très', 'discours choquée', 'concerne désinscrit site', 'cours perte', 'cours perte pense']","['je suis très mécontente , cela manque totalement de professionnalisme ! ! !', 'je suis très déçue de cette manière de faire très malhonnête de leur pars .', 'je suis très mécontente de leur manque de professionnalisme et manque de respect envers le client !']"
